x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,entity_count,block_entity_count
-16,-11,22,true,minecraft:full,ENTITY_TICKING,done,done,done,Ticket[start 22 (INSTANCE)] at 0,true,3,0
-17,-12,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -12])] at 9261",true,0,0
-17,-11,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -11])] at 9262",true,0,0
-17,-10,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -10])] at 9265",true,2,0
-16,-12,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -12])] at 9265",true,3,0
-16,-10,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -10])] at 9265",true,0,0
-15,-12,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -12])] at 9265",true,0,0
-15,-11,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -11])] at 9265",true,3,0
-15,-10,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -10])] at 9265",true,3,0
-18,-13,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -13])] at 9265",true,0,0
-18,-12,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -12])] at 9264",true,0,0
-18,-11,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -11])] at 9260",true,2,0
-17,-13,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -13])] at 9265",true,0,0
-16,-13,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -13])] at 9265",true,0,0
-18,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -10])] at 9263",true,0,0
-18,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -9])] at 9260",true,3,1
-17,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -9])] at 9265",true,0,0
-16,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -9])] at 9265",true,0,0
